county,year,total,male,female,age_less_than_15,age_15_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_64,age_65_to_74,age_75_to_84,age_85_and_above,race_white,race_black,race_asian,race_other,hispanic_latino,not_hispanic_latino,total_housing_unit
"Whatcom County, Washington",2016,216800,107399,109401,35823,38491,28300,24771,26128,27647,22105,8999,4536,186782,3944,12805,11793,20027,196773,94189
"Yakima County, Washington",2016,249636,124709,124927,62694,36069,32288,29325,28509,27119,19423,9925,4284,201395,5331,4451,32115,121816,127820,86728
"Benton County, Washington",2017,198171,99250,98921,30311.3,27149,12182,26889,25039,36937,11155,17199,8236,1520,2154,0,169681,4955,43406,0
"Chelan County, Washington",2017,76533,38422,38111,10209.8,11332,3929,8151,8347,14852,5784,8587,3702,N,N,N,65369,1249,21527,N
"Clallam County, Washington",2017,75474,36661,38813,7551.5,5979,4028,7589,7555,14323,6475,12896,7529,208,1494,127,68644,5602,4779,30
"Clark County, Washington",2017,474643,234913,239730,62569,63373,26915,62046,63508,95243,30190,44584,17055,6122,6387,0,425565,9486,45815,3264
"Cowlitz County, Washington",2017,106910,53032,53878,12284.4,14169,5831,13426,11784,21847,7945,11855,5186,1270,1967,452,100355,3539,9656,413
"Franklin County, Washington",2017,92125,47518,44607,15931.5,15560,7110,14293,12674,14152,4016,5651,2128,380,1336,97,67818,4133,49086,352
"Grant County, Washington",2017,95158,48157,47001,15624.5,15109,7141,12451,11137,15933,4721,8324,3955,217,508,0,64999,3068,39682,0
"Grays Harbor County, Washington",2017,72697,37455,35242,8600.3,8038,3260,8621,8619,13912,6606,9257,4124,368,1536,0,66627,4698,7273,117
"Island County, Washington",2017,83159,40965,42194,9415.1,7066,5963,11977,8217,14075,6608,12502,5896,395,1032,36,73169,2572,6534,296
"King County, Washington",2017,2188649,1097210,1091439,260659.5,233446,131904,390742,326747,431676,129617,171345,74859,27607,20226,3155,1521398,42325,212412,16765
"Kitsap County, Washington",2017,266414,135788,130626,31186,29983,20475,37401,30627,50903,19528,29997,11611,3156,4072,19,232266,8185,20712,2168
"Lewis County, Washington",2017,78200,38649,39551,9374.7,9375,3811,8435,10184,15498,5395,9672,4908,720,2462,0,74462,3064,7930,70
"Pierce County, Washington",2017,876764,436746,440018,117053.3,109965,59918,136674,113043,168929,53424,71626,32974,19067,12334,1456,706457,27549,95644,13224
"Skagit County, Washington",2017,125619,61819,63800,14997.9,15683,7079,15217,14474,24086,8485,15498,7225,1001,1409,0,106346,3991,23017,238
"Snohomish County, Washington",2017,801633,402089,399544,99200.6,99456,47838,117156,112758,167059,54048,64602,27583,9736,12739,369,652530,22777,81809,3286
"Spokane County, Washington",2017,506152,250678,255474,60990.1,65491,35548,73010,61881,97026,32918,48203,21819,6288,7315,768,468838,17464,29049,2835
"Thurston County, Washington",2017,280588,136115,144473,33330.2,33967,17254,39241,37549,53995,17534,30357,13063,4430,3956,0,246868,8862,25218,1596
"Whatcom County, Washington",2017,221404,109435,111969,23596.7,28436,22225,29207,26431,41311,12552,23339,10365,1406,1863,0,196741,9667,20820,530
"Yakima County, Washington",2017,250193,125219,124974,40806.2,40449,17221,33648,29034,42163,13290,19334,10187,1843,2108,61,199834,13546,123693,65
"Benton County, Washington",2018,201877,99991,101886,29658.1,29703,11504,27698,25101,36221,12008,18189,8203,1538,2173,0,174062,3267,44919,199
"Chelan County, Washington",2018,77036,38586,38450,11012.4,8069,4764,10072,9708,14268,4825,8315,4521,N,N,N,60915,1855,21792,142
"Clallam County, Washington",2018,76737,38390,38347,6853.1,8097,3080,7676,8180,14411,6379,12898,6162,N,N,N,70564,5274,4933,6
"Clark County, Washington",2018,481857,238961,242896,60859.4,64686,27681,65339,64457,94397,30068,46501,20809,6082,5414,797,430181,11703,47985,4263
"Cowlitz County, Washington",2018,108987,53593,55394,12877.7,15070,5692,13447,12459,20442,8240,12649,5713,1033,2612,27,100936,6038,9975,278
"Franklin County, Washington",2018,94347,48874,45473,17175.5,16491,5942,15112,12987,13292,4288,5691,2806,N,N,N,72194,2805,50456,0
"Grant County, Washington",2018,97331,49789,47542,14847.7,16909,6037,13235,12081,14917,5328,8744,4012,90,903,0,70074,2915,41005,0
"Grays Harbor County, Washington",2018,73901,37073,36828,7561.7,9503,3687,7958,8689,14432,5859,10090,4673,167,1971,0,68628,4948,7563,154
"Island County, Washington",2018,84460,42186,42274,7718.8,8850,5617,12234,8769,13920,6648,12673,6296,314,1288,0,76303,3551,6859,254
"King County, Washington",2018,2233163,1121145,1112018,259244.8,241068,133686,410103,335001,433391,125879,177427,79338,18451,15914,3229,1536482,43590,218263,17109
"Kitsap County, Washington",2018,269805,138086,131719,31598.8,28448,21403,38813,31600,51803,18496,30258,14265,4357,5403,154,236448,8826,21523,2698
"Lewis County, Washington",2018,79604,39969,39635,8964.8,10086,3865,9815,9032,14639,6723,9892,5046,755,1944,0,76460,3136,8194,186
"Mason County, Washington",2018,65507,33563,31944,7392.1,6776,4156,7062,6910,13757,4697,9345,3925,339,2206,84,56921,3493,6801,384
"Pierce County, Washington",2018,891299,443778,447521,121055.2,109079,58433,138724,119506,167714,53630,75617,34289,17122,8332,3669,715611,28151,99153,12919
"Skagit County, Washington",2018,128206,63062,65144,15490.8,15027,6191,17096,15849,22753,9280,15776,7848,638,1318,10,105932,4631,23928,115
"Snohomish County, Washington",2018,814901,407880,407021,101508.2,99269,46606,120993,116255,167992,52495,68890,28962,10907,10482,382,655346,22371,85109,4557
"Spokane County, Washington",2018,514631,253650,260981,61853.2,67027,33341,77130,64847,96596,30432,50548,24407,6872,6785,109,471174,15035,30473,3078
"Thurston County, Washington",2018,286419,139657,146762,33111.2,34301,16371,43746,37054,53241,19454,31417,12438,4806,3733,0,247587,7925,26299,2640
"Whatcom County, Washington",2018,225685,111469,114216,24779.6,28654,23061,30059,26771,38355,14756,24191,10552,2009,2342,0,198523,9564,21469,324
"Yakima County, Washington",2018,251446,125234,126212,41784.2,40032,17070,33475,29856,41423,13576,20408,10195,1015,3080,231,197520,14217,125472,241
"Benton County, Washington",2019,204390,102048,102342,29161.7,29405,12133,27601,28218,34953,11995,18876,8862,1035,1413,0,174805,3392,46210,114
"Chelan County, Washington",2019,77200,38858,38342,9549.3,11687,3115,9356,9843,13564,5544,8287,4535,70,477,62,58812,1108,21804,18
"Clallam County, Washington",2019,77331,38316,39015,7187.2,7181,2789,8469,8196,11490,8518,13857,7564,176,1177,34,69688,6201,5076,0
"Clark County, Washington",2019,488241,241610,246631,60062,66193,28405,65991,64122,97105,28087,49385,21683,5839,5336,0,433817,9911,49756,4340
"Cowlitz County, Washington",2019,110593,54770,55823,13858.1,13034,6325,14615,13288,21601,6958,12570,6004,1026,2650,0,104642,5207,10325,239
"Franklin County, Washington",2019,95222,48763,46459,17811,15606,6940,13711,13317,15023,4099,6006,1732,894,1284,0,71955,3115,51001,141
"Grant County, Washington",2019,97733,48784,48949,16776.7,15308,5583,13459,11788,15701,5789,7740,3849,118,1098,0,70966,2829,41236,0
"Grays Harbor County, Washington",2019,75061,37879,37182,7213.9,9833,3184,8591,8168,15559,5754,10602,4867,136,2346,0,68516,5008,7745,74
"Island County, Washington",2019,85141,43650,41491,9531.2,8057,5841,11414,9419,13860,6544,12450,6419,334,669,0,74666,1864,6969,1129
"King County, Washington",2019,2252782,1130491,1122291,247935.7,251809,132698,416655,342732,428407,128588,182862,81847,24522,17775,2148,1524208,44527,222642,15702
"Kitsap County, Washington",2019,271473,138370,133103,30982,30234,19544,39866,34074,49291,17679,31171,14831,2849,4526,86,234967,8036,22377,2585
"Lewis County, Washington",2019,80707,41102,39605,9395.8,9683,4149,10043,9216,15678,5339,10401,5226,95,4398,81,78094,4983,8500,63
"Mason County, Washington",2019,66768,34442,32326,7638.5,7001,3078,8025,7766,10839,6654,10283,4128,118,2952,9,61385,5289,7099,56
"Pierce County, Washington",2019,904980,451511,453469,119867.6,111496,61153,141209,121601,165251,56251,78802,35705,22147,12015,828,722091,28531,103027,11952
"Skagit County, Washington",2019,129205,62963,66242,14986,15901,6441,16558,15537,22360,9600,16624,8973,737,1501,25,111274,5768,24050,93
"Snohomish County, Washington",2019,822083,412292,409791,102441.6,98185,46073,123322,119234,167935,50426,71172,30975,9150,9083,631,649694,22821,87167,3300
"Spokane County, Washington",2019,522798,259173,263625,60588.3,69046,34394,78107,65597,92734,35910,52386,24967,5242,7158,1058,480373,17591,31835,3443
"Thurston County, Washington",2019,290536,141818,148718,35711.4,33352,16453,39829,39598,53460,20977,31532,15594,1953,2979,342,249993,8419,27212,2567
"Whatcom County, Washington",2019,229247,112924,116323,25525.1,27069,23820,29325,28365,37004,16340,25868,11456,2409,2852,38,200909,8656,22489,674
"Yakima County, Washington",2019,250873,125765,125108,39652.5,41029,16491,35135,29453,40517,13301,20830,9483,393,1537,54,196709,13459,125816,1230
"Benton County, Washington",2021,210025,105982,104043,30523.9,29403,12793,28590,28167,34306,13328,20455,8697,1972,3251,0,176483,5475,50490,405
"Chelan County, Washington",2021,79646,38956,40690,9654.7,10003,6168,8760,11126,12224,4995,10641,4127,14,907,0,61700,2231,22887,64
"Clallam County, Washington",2021,78209,38518,39691,7673,6433,3837,7739,9032,12177,6855,15351,7214,480,3026,0,71728,5508,5771,36
"Clark County, Washington",2021,511404,255005,256399,62190.5,66522,30381,68386,69540,98668,32650,53232,21067,6764,7442,82,440137,15558,56326,3497
"Cowlitz County, Washington",2021,111524,55779,55745,13915.1,14182,4665,14434,14174,21892,6635,13137,6129,1458,2804,26,103144,4529,11060,204
"Franklin County, Washington",2021,98268,50895,47373,15560.4,18536,8031,12033,14269,16869,4326,6209,1960,549,791,65,67737,1892,53200,2203
"Grant County, Washington",2021,100297,51169,49128,14760.2,15794,7200,13893,12803,17633,5141,8168,4260,151,2123,0,72164,5778,43273,38
"Grays Harbor County, Washington",2021,76841,38987,37854,8309,8744,3842,8670,9727,12812,7236,11352,4579,150,2059,79,69084,5653,8413,468
"Island County, Washington",2021,87432,43995,43437,10207.3,7323,7191,11265,8490,14530,6486,13671,6790,1011,1371,0,75121,2675,7614,38
"King County, Washington",2021,2252305,1140802,1111503,240366.6,253627,127914,408181,359593,420236,133155,189413,87039,26641,20426,3910,1492537,52252,231744,15064
"Kitsap County, Washington",2021,274314,140374,133940,28758.8,31126,18599,40563,35246,49312,17745,33560,15184,2386,4137,79,237118,9298,23394,2672
"Lewis County, Washington",2021,84398,43107,41291,9959.4,10065,3974,10515,10499,15933,6061,10881,4683,593,1888,24,77776,3545,9590,130
"Mason County, Washington",2021,67615,35330,32285,7403.4,6677,3970,8093,8260,12295,5431,10100,3912,96,3040,0,61172,6472,7649,116
"Pierce County, Washington",2021,925708,464688,461020,116853.8,118325,60502,141775,133595,164001,57534,83262,36518,19858,13873,2225,723228,40708,113201,14873
"Skagit County, Washington",2021,130696,65696,65000,15256.1,15439,6854,15816,16682,22659,9199,17266,8818,995,2180,13,109938,5809,25449,55
"Snohomish County, Washington",2021,833540,421389,412151,101258.2,101243,44441,123095,128897,160403,54575,76262,32219,9785,11976,365,644670,24768,93762,2859
"Spokane County, Washington",2021,546040,272131,273909,63615.4,70046,35241,81642,73205,93502,37361,57784,24508,7161,8952,266,498115,17720,36188,3472
"Thurston County, Washington",2021,297977,145768,152209,35694.8,34103,18667,42669,41169,52434,19219,33662,15632,5834,4250,610,253829,11424,30092,3016
"Whatcom County, Washington",2021,228831,113242,115589,22265,29689,21958,31014,28208,40343,12988,26653,12322,2058,3916,34,200682,10287,23492,829
"Yakima County, Washington",2021,256035,128564,127471,39011.9,43766,16915,35362,31351,40205,13530,21687,9977,1337,5250,174,184314,15448,132566,908
"Benton County, Washington",2022,212791,107806,104985,29122.7,30169,14413,28557,28710,34950,13311,20201,9373,976,2683,21890,0,178482,43833,990
"Chelan County, Washington",2022,79926,39973,39953,8989.1,10162,4871,9474,10214,14462,4939,10102,4920,352,541,5822,0,61286,22160,739
"Clallam County, Washington",2022,77805,38583,39222,7146.4,6373,3407,7632,9025,11811,7517,14613,8044,571,2045,3109,0,70278,4928,3012
"Clark County, Washington",2022,516779,257272,259507,59649.1,65645,30500,72959,70855,94770,34284,53640,26760,5198,7620,34925,322,454101,55351,1150
"Cowlitz County, Washington",2022,111956,55875,56081,13190.6,13918,6406,14502,14547,19678,7415,13182,7631,805,3167,4465,0,103778,8546,1158
"Franklin County, Washington",2022,98678,50990,47688,14731.9,19174,6483,13911,13952,16368,3687,7031,2911,326,613,17980,84,68055,43649,395
"Grant County, Washington",2022,101311,51345,49966,16152.8,14339,7984,13855,12532,15712,6305,8660,4586,482,2746,12095,101,77621,32463,725
"Grays Harbor County, Washington",2022,77038,39227,37811,7765.7,9046,3370,8855,10057,14012,6074,11506,4802,172,1456,3495,10,65966,9140,3667
"Island County, Washington",2022,86625,44991,41634,8169.1,8082,5633,10715,10411,14082,6368,13748,7794,619,841,5708,0,76408,7217,759
"King County, Washington",2022,2266789,1151810,1114979,241283.3,243161,138334,413638,360809,421393,125152,190349,93629,27614,19617,93564,3531,1467044,230915,9162
"Kitsap County, Washington",2022,277673,143650,134023,30932.2,29078,20264,38671,37437,49452,16729,32778,17369,3137,4874,11322,160,240716,21156,1975
"Lewis County, Washington",2022,85370,43022,42348,9063.6,10788,4810,10072,10770,13924,7312,11311,5910,588,1383,6208,0,78950,9493,1031
"Mason County, Washington",2022,68166,35324,32842,7658.6,6734,3355,7842,8353,12197,5277,10565,5197,269,1499,2401,0,57824,8614,2331
"Pierce County, Washington",2022,927380,466724,460656,115414.3,115663,62966,142351,133879,161764,57081,83585,41945,23014,13661,47023,3445,729891,89435,7336
"Skagit County, Washington",2022,131179,66892,64287,14204.1,14946,6816,17094,16818,22525,9759,17276,9203,383,2428,5528,17,107991,22741,1075
"Snohomish County, Washington",2022,840079,424312,415767,100596.1,99285,45583,124652,131562,160339,52336,77932,35730,10671,10534,35979,1128,630628,89752,5295
"Spokane County, Washington",2022,549690,273987,275703,62271.4,69427,36297,81679,74297,95854,34067,57838,28345,8014,10527,17801,110,504875,29946,4262
"Thurston County, Washington",2022,298758,147104,151654,31677,36729,16412,40210,43286,55334,17785,35275,16924,5317,5725,15237,941,252630,24152,2450
"Whatcom County, Washington",2022,230677,113417,117260,22502.7,27102,23998,31206,29881,38501,13673,25723,13340,1723,3707,13116,348,201456,23424,4002
"Yakima County, Washington",2022,257001,129749,127252,39364,41921,17818,35412,31330,40314,13939,21479,11093,2768,3395,66270,212,194064,115249,8173
"Benton County, Washington",2023,215219,109337,105882,29639.3,30946,13177,29535,29196,35832,12247,21109,9412,N,18722,933,2393,0,9534,158445
"Chelan County, Washington",2023,79997,40577,39420,8704.9,10660,4300,8834,10692,13631,5679,10278,6196,N,11155,290,539,0,2427,56627
"Clallam County, Washington",2023,77616,37976,39640,6346.8,6729,3116,8214,8706,12189,7223,14627,8249,N,1412,384,897,118,6980,72175
"Clark County, Washington",2023,521150,259448,261702,59355.1,68475,29696,72667,72428,94229,35113,53673,27638,3450,26490,7016,10689,299,12515,455545
"Cowlitz County, Washington",2023,112864,55448,57416,13492.6,14283,6296,13897,14433,19129,9227,12983,7193,N,5389,693,763,0,4037,100671
"Franklin County, Washington",2023,99034,50023,49011,17195.1,16633,6772,14452,13957,14502,4785,7276,2752,N,19077,416,868,0,1533,43972
"Grant County, Washington",2023,102678,52728,49950,13985.6,17886,7395,13126,13035,16691,5391,8903,4744,N,17072,365,1001,88,3610,57316
"Grays Harbor County, Washington",2023,77290,39517,37773,7255.6,10014,4048,7864,10492,14620,4445,11431,5618,N,4283,104,675,29,5792,68480
"Island County, Washington",2023,86267,43812,42455,7666.2,9442,4572,9731,11122,12503,6660,14063,9173,N,1423,2246,2097,0,1587,78593
"King County, Washington",2023,2271380,1151024,1120356,236587.7,247037,134584,412211,367850,416460,127302,194215,96861,6487,107332,29223,71299,4026,56862,2018419
"Kitsap County, Washington",2023,277658,143053,134605,29014.3,29055,19202,40275,37131,47061,19411,33522,17432,N,5927,4781,7492,15,11251,250988
"Lewis County, Washington",2023,86154,42926,43228,10208.3,10742,3090,10821,11586,14624,6512,11022,5989,N,2959,600,729,0,3024,76049
"Mason County, Washington",2023,68389,33966,34423,7180.7,7553,3103,7983,8739,11018,5477,10438,5410,N,4269,285,608,155,7362,59385
"Pierce County, Washington",2023,928696,465869,462827,110831.7,121858,58327,141150,138969,164386,51974,85095,43712,5078,37275,23488,25448,822,33625,807176
"Skagit County, Washington",2023,131417,66194,65223,14775.5,14642,6767,15899,17837,21884,8630,18725,9552,N,16545,706,1325,0,4761,105592
"Snohomish County, Washington",2023,844761,426834,417927,101138.1,100634,43514,125112,135211,153593,56564,80200,36416,N,44619,10377,16891,822,26176,740632
"Spokane County, Washington",2023,551455,276158,275297,63032.3,68839,35462,80427,75946,93852,35884,59873,27859,3711,15531,6872,8183,0,19141,511173
"Thurston County, Washington",2023,299003,147209,151794,33419,34203,15210,43001,45170,51849,18434,34097,17202,1365,10815,5383,6600,186,10928,266224
"Whatcom County, Washington",2023,231919,114210,117709,24390,23462,24137,32760,29782,38859,14062,26420,14082,N,13544,2101,5328,313,8684,206823
"Yakima County, Washington",2023,256643,128958,127685,37005,43790,16842,35549,31798,40566,13023,22125,12385,N,55639,1809,2595,9,15351,120640
"Benton County, Washington",2024,218190,110320,107870,28654.3,30831,14500,30328,30474,35221,12268,21187,11445,N,N,1204,554,451,N,0
"Chelan County, Washington",2024,81228,39800,41428,9185.1,10494,4389,10266,11121,13188,5823,9732,5362,N,N,N,N,N,N,0
"Clallam County, Washington",2024,77958,38005,39953,6381.1,6929,2752,8242,9040,12296,6072,15198,8307,N,N,N,N,N,N,44
"Clark County, Washington",2024,527269,262342,264927,57937,67368,31171,74315,74497,99416,30863,53837,29382,N,N,1370,6003,3363,1287,330
"Cowlitz County, Washington",2024,113982,56679,57303,12049.9,16252,5505,14377,14835,20073,7519,13456,6965,N,N,N,N,N,N,69
"Franklin County, Washington",2024,101238,52102,49136,15441,18094,8797,12575,14736,16040,4578,6746,3332,N,N,N,N,N,N,44
"Grant County, Washington",2024,104717,53693,51024,14991.2,16172,7109,15013,13337,17546,5132,9480,4873,N,N,N,N,N,N,0
"Grays Harbor County, Washington",2024,77893,39303,38590,7947.8,8882,3392,8171,9945,14656,5900,11740,5956,N,N,N,N,N,N,0
"Island County, Washington",2024,86478,43709,42769,8001.2,8788,4340,10547,10483,12815,7030,14450,8370,N,N,195,1918,406,N,0
"King County, Washington",2024,2340211,1185714,1154497,238510.7,253726,140524,433284,384412,420979,128384,197545,106917,N,N,127940,53210,40545,1025,3913
"Kitsap County, Washington",2024,281420,144033,137387,29702.8,30198,19240,38485,40234,45479,19286,34928,19600,N,N,203,8985,1447,679,391
"Lewis County, Washington",2024,87049,43804,43245,10733.3,10016,4267,10187,10439,16803,5897,11122,6199,N,N,N,N,N,N,0
"Mason County, Washington",2024,69632,35546,34086,6244.3,8546,3194,8466,8535,11255,5951,10953,5613,N,N,N,N,N,N,32
"Pierce County, Washington",2024,941170,471791,469379,117031.5,116447,59169,143053,141460,163225,54503,88615,41998,404,8346,5685,20685,8947,2403,2616
"Skagit County, Washington",2024,132736,65642,67094,14173.8,15508,7190,16292,16710,22364,8967,18234,10078,N,N,N,N,N,N,0
"Snohomish County, Washington",2024,864113,436240,427873,107107,96365,45737,127829,142291,159838,50502,81939,40153,N,N,38782,24037,13939,946,0
"Spokane County, Washington",2024,555947,278030,277917,62888,68350,34771,80938,79955,94222,33639,59250,30870,N,N,1702,2823,1063,N,144
"Thurston County, Washington",2024,302912,149659,153253,31595.7,35785,16125,43557,45401,51289,20732,34326,18587,N,N,2496,6354,3014,120,307
"Whatcom County, Washington",2024,234954,117514,117440,21934.1,28283,22758,32111,31718,40070,12363,26225,15355,N,N,4451,1783,343,N,137
"Yakima County, Washington",2024,258523,129843,128680,38692.9,41561,17690,35928,31644,40200,13759,22773,11941,N,N,N,N,N,N,0
